worker,run,allocation_time
1,1,9.161802768707275
1,2,8.803986549377441
1,3,9.044759035110474
1,4,9.30175518989563
1,5,9.425776958465576
1,6,9.27199935913086
1,7,9.242912530899048
1,8,9.299292802810669
1,9,9.456876754760742
1,10,9.162786483764648
2,1,9.312925338745117
2,2,9.333516836166382
2,3,9.389011144638062
2,4,9.225299835205078
2,5,9.338052749633789
2,6,9.217764616012573
2,7,9.466811895370483
2,8,9.160685300827026
2,9,9.515954494476318
2,10,9.091102361679077
3,1,9.606921195983887
3,2,9.080439567565918
3,3,9.274135828018188
3,4,8.551663637161255
3,5,9.309849739074707
3,6,10.115402221679688
3,7,9.292079210281372
3,8,9.200820684432983
3,9,9.583726167678833
3,10,9.022719144821167
4,1,9.295099973678589
4,2,9.258745908737183
4,3,9.465641736984253
4,4,9.169888257980347
4,5,9.386868953704834
4,6,9.268064260482788
4,7,9.453280925750732
4,8,9.158604621887207
4,9,9.194979906082153
4,10,10.291435956954956
5,1,9.325401544570923
5,2,9.200283288955688
5,3,9.284938097000122
5,4,9.30571436882019
5,5,9.653137922286987
5,6,9.017985343933105
5,7,10.139010429382324
5,8,9.300764322280884
5,9,9.624969720840454
5,10,8.98001480102539
6,1,9.515506982803345
6,2,9.080639123916626
6,3,9.390493869781494
6,4,10.166924953460693
6,5,9.388801097869873
6,6,9.184695720672607
6,7,9.38047170639038
6,8,9.172945022583008
6,9,9.23995566368103
6,10,9.314186096191406
7,1,10.358319997787476
7,2,9.395617485046387
7,3,9.086139678955078
7,4,9.337287425994873
7,5,9.360729217529297
7,6,9.166805267333984
7,7,9.278708696365356
7,8,10.249844074249268
7,9,9.587503910064697
7,10,9.10898232460022
8,1,9.170814752578735
8,2,9.308815956115723
8,3,9.487725973129272
8,4,9.053438663482666
8,5,10.307430744171143
8,6,9.248608589172363
8,7,9.379446506500244
8,8,9.195448637008667
8,9,9.328800678253174
8,10,9.111068725585938
9,1,9.923236846923828
9,2,9.681969404220581
9,3,9.231968402862549
9,4,9.329718828201294
9,5,9.188120365142822
9,6,9.205094337463379
9,7,9.355244874954224
9,8,9.143596410751343
9,9,10.333530187606812
9,10,9.230832576751709
10,1,9.219874858856201
10,2,9.274107694625854
10,3,9.325910329818726
10,4,9.325008392333984
10,5,9.191805362701416
10,6,10.169200420379639
10,7,9.537769317626953
10,8,9.139665842056274
10,9,9.044702529907227
10,10,9.383929967880249
11,1,9.218037843704224
11,2,9.172771453857422
11,3,9.235925436019897
11,4,9.129609107971191
11,5,9.49374532699585
11,6,8.961467266082764
11,7,9.336928606033325
11,8,9.24506425857544
11,9,9.405979633331299
11,10,10.119851350784302
12,1,9.29296588897705
12,2,9.249441385269165
12,3,9.30940294265747
12,4,9.122416019439697
12,5,9.250837802886963
12,6,9.306571006774902
12,7,10.273464918136597
12,8,9.24965214729309
12,9,9.404180526733398
12,10,9.10298752784729
13,1,9.320543050765991
13,2,9.088800191879272
13,3,9.239136695861816
13,4,10.365936517715454
13,5,9.237884044647217
13,6,9.133315324783325
13,7,9.27601170539856
13,8,9.285776615142822
13,9,9.29335331916809
13,10,9.127272605895996
14,1,10.286739587783813
14,2,9.304499626159668
14,3,9.127840757369995
14,4,9.186656475067139
14,5,9.345793962478638
14,6,9.083437442779541
14,7,9.39220142364502
14,8,10.218477487564087
14,9,9.135847330093384
14,10,9.250588178634644
15,1,9.30647897720337
15,2,9.165099143981934
15,3,9.36596131324768
15,4,9.152074813842773
15,5,10.275913000106812
15,6,9.09192681312561
15,7,9.248720407485962
15,8,9.16592264175415
15,9,9.315140008926392
15,10,9.19255781173706
16,1,9.164470434188843
16,2,10.228383541107178
16,3,9.428924560546875
16,4,9.041728734970093
16,5,9.364502906799316
16,6,9.077763795852661
16,7,9.359429836273193
16,8,9.171136379241943
16,9,10.410646438598633
16,10,9.181115865707397
17,1,9.921180486679077
17,2,9.583367586135864
17,3,9.173634767532349
17,4,9.291558027267456
17,5,9.1213219165802
17,6,9.221943616867065
17,7,9.131737232208252
17,8,9.262989044189453
17,9,9.24563217163086
17,10,9.238921403884888
18,1,9.090951919555664
18,2,9.3533353805542
18,3,9.20352840423584
18,4,9.22763442993164
18,5,9.074339628219604
18,6,9.135461807250977
18,7,9.49001407623291
18,8,8.966631889343262
18,9,9.311441421508789
18,10,10.149148225784302
19,1,9.449477434158325
19,2,8.958219289779663
19,3,9.24398946762085
19,4,9.155263662338257
19,5,9.514488935470581
19,6,8.837095260620117
19,7,10.213310241699219
19,8,9.409861087799072
19,9,9.180510759353638
19,10,9.255024909973145
20,1,9.01153302192688
20,2,9.445542812347412
20,3,9.043928861618042
20,4,10.324631929397583
20,5,9.25788688659668
20,6,9.101462125778198
20,7,9.399253129959106
20,8,8.969921350479126
20,9,9.085482120513916
20,10,9.203374147415161
21,1,10.218252897262573
21,2,9.204151391983032
21,3,9.130805492401123
21,4,9.280277252197266
21,5,9.485641479492188
21,6,8.85140061378479
21,7,9.135396242141724
21,8,10.306464195251465
21,9,9.23883318901062
21,10,9.076907634735107
22,1,9.154961824417114
22,2,9.220184326171875
22,3,9.553349494934082
22,4,8.855859518051147
22,5,10.281268835067749
22,6,9.201615810394287
22,7,9.207616806030273
22,8,9.246156692504883
22,9,9.134106397628784
22,10,9.170607805252075
23,1,9.331361532211304
23,2,9.970191240310669
23,3,9.194053173065186
23,4,9.312013864517212
23,5,9.210248231887817
23,6,9.122623920440674
23,7,9.220515966415405
23,8,9.115332841873169
23,9,10.43237566947937
23,10,8.915561437606812
24,1,9.411436319351196
24,2,9.160977125167847
24,3,9.087263584136963
24,4,9.163500785827637
24,5,9.182003736495972
24,6,10.29567003250122
24,7,9.238519668579102
24,8,8.970579624176025
24,9,9.252384901046753
24,10,9.204626083374023
